id;delivery_number;delivery_street;delivery_city;delivery_postal_code;delivery_country
1;Multi-channelled Licensed;grey Cambridgeshire;Canyon HDD;Table Small Frozen Sausages Planner;envisioneer Music Public-key
2;infomediaries;Investment Account;Games Regional Digitized;copy convergence;Mayotte
3;Industrial;connect Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands
4;compelling mission-critical;bifurcated scalable;Small;deliverables reinvent 24 hour;overriding
5;monitor 1080p Checking Account;world-class Frozen IB;Highway Ergonomic;moratorium moratorium;New York tangible Mississippi
6;Frozen bus;hard drive Robust Networked;Poland;Small partnerships;Outdoors
7;Harbor Montana;Corporate Phased relationships;white Brand Money Market Account;Salad Web virtual;Refined Squares
8;maroon;EXE projection Fresh;support Gorgeous;withdrawal;copying
9;ability Hat Iraq;magenta Concrete;User-centric Gloves;Mauritania;facilitate Tasty Concrete Chips Exclusive
10;Buckinghamshire capability zero tolerance;mission-critical;Berkshire Small Plastic Pants Investor;Canadian Dollar;Berkshire Designer
