id;order_id;number;status;order_date;order_items
1;39665;International Steel Avon;SHIPPED;2019-09-06;transition open-source Interactions
2;98600;navigate repurpose;PENDING;2019-09-06;system Triple-buffered
3;33025;supply-chains;PENDING;2019-09-05;Handmade Wooden Cheese Fresh
4;64921;synthesize Idaho Markets;RECEIVED;2019-09-05;web services
5;80210;Strategist;VALIDATED;2019-09-05;Gorgeous Rubber Chicken Associate Central African Republic
6;62939;Dalasi;VALIDATED;2019-09-05;protocol Product Usability
7;5786;brand Generic B2B;RECEIVED;2019-09-05;one-to-one Indiana
8;7773;Engineer Architect;SHIPPED;2019-09-05;clear-thinking Frozen Licensed
9;94053;models New Mexico District;SHIPPED;2019-09-05;Rustic Steel Shirt drive
10;81055;Strategist Shirt;PENDING;2019-09-05;Tennessee Practical Steel Shirt Plastic
