id;state;order_date;total_amount;payment_date
1;PENDING;2019-09-12;95006;2019-09-12T16:05:33
2;RECEIVED;2019-09-13;29321;2019-09-12T17:52:35
3;PENDING;2019-09-13;75237;2019-09-12T09:37:35
4;SHIPPED;2019-09-12;5755;2019-09-12T08:25:57
5;PENDING;2019-09-12;11706;2019-09-12T09:05:14
6;SHIPPED;2019-09-12;61821;2019-09-12T11:31:48
7;VALIDATED;2019-09-12;70096;2019-09-13T02:59:35
8;SHIPPED;2019-09-12;70624;2019-09-13T04:48:58
9;SHIPPED;2019-09-13;98663;2019-09-12T18:23:01
10;VALIDATED;2019-09-13;94724;2019-09-12T10:33:01
