id;price;name;stock;picture;brand;type;bike_category;bike_size;bike_seeds;bike_color;part_category;part_category_type;description
1;37454;Directives application Home Loan Account;15601;Computer Practical Fresh Pants;Metal deposit;BIKE;CITY;methodology Albania;43194;intangible;STEERING;PEDALS;Savings Account syndicate Planner
2;46676;HDD;68030;Centers;Factors;BIKE;BMX;Bahamian Dollar Investment Account;83319;Salad;WHEELS_TYRES;WIRE_SPOKED_WHEELS;Mayotte
3;18485;Facilitator;77513;Markets Chief;capacitor archive;PART;CITY;compelling mission-critical;54269;Plastic;DRIVETRAIN;CHAINS;magenta monitor 1080p
4;60595;Identity;65107;Internal;Investment Account archive Fantastic Plastic Chicken;PART;EBIKE;embrace Developer;84891;hard drive Robust Networked;SADDLE_SEATPOST;CRANKSETS;Outdoors
5;63641;knowledge base Buckinghamshire;90756;Phased;Saint Lucia white;PART;CITY;digital maroon;89255;Ghana back-end National;FRAMES_FORKS;BOYAUX;Jewelery cutting-edge
6;30478;Hat;53408;Bedfordshire Bahamian Dollar;24/7;PART;BMX;Exclusive Moroccan Dirham card;14808;Supervisor;FRAMES_FORKS;SEAT_CLAMP;Investor Public-key
7;14489;Berkshire Designer;24205;Bulgarian Lev navigate;Re-contextualized;PART;CITY;installation;18651;Refined Rubber Gloves Algerian Dinar Clothing;DRIVETRAIN;CRANKSETS;disintermediate Cambridgeshire hacking
8;67569;bandwidth azure;54144;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented;PART;CITY;even-keeled Saint Helena Pound;84666;SCSI drive THX;WHEELS_TYRES;BRAKE_LEVERS;invoice Home Gloves
9;54873;Cayman Islands Dollar invoice;22426;driver;Bedfordshire;PART;EBIKE;Nevada;9367;turn-key dedicated;DRIVETRAIN;CHAINS;dot-com payment Libyan Dinar
10;86416;Re-contextualized;49919;Alaska;deposit Chips Applications;PART;CITY;Facilitator Incredible functionalities;19091;eco-centric Bedfordshire mesh;DRIVETRAIN;FRAMES;Concrete Bedfordshire
